Name,CPU%,MemUsage
assignment3-sa-app-web-1,0.53%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,0.44%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,0.42%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,0.41%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,7.32%,215.3MiB / 7.654GiB
assignment3-sa-app-web-1,13.47%,191.5MiB / 7.654GiB
assignment3-sa-app-web-1,11.61%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,12.14%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,29.26%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,17.93%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,12.76%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,18.42%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,16.10%,191.5MiB / 7.654GiB
assignment3-sa-app-web-1,17.46%,191.5MiB / 7.654GiB
assignment3-sa-app-web-1,17.24%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,17.78%,191.3MiB / 7.654GiB
assignment3-sa-app-web-1,18.54%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,16.33%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,19.63%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,17.33%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,18.91%,191.5MiB / 7.654GiB
assignment3-sa-app-web-1,17.14%,191.3MiB / 7.654GiB
assignment3-sa-app-web-1,17.58%,191.5MiB / 7.654GiB
assignment3-sa-app-web-1,17.58%,191.2MiB / 7.654GiB
assignment3-sa-app-web-1,19.95%,191.7MiB / 7.654GiB
assignment3-sa-app-web-1,18.60%,186.5MiB / 7.654GiB
assignment3-sa-app-web-1,17.19%,186.2MiB / 7.654GiB
assignment3-sa-app-web-1,17.50%,186.2MiB / 7.654GiB
assignment3-sa-app-web-1,27.50%,186.2MiB / 7.654GiB
assignment3-sa-app-web-1,18.99%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,17.14%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,18.88%,185.7MiB / 7.654GiB
assignment3-sa-app-web-1,19.39%,185.4MiB / 7.654GiB
assignment3-sa-app-web-1,17.99%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,18.68%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,16.46%,185.3MiB / 7.654GiB
assignment3-sa-app-web-1,19.27%,185.5MiB / 7.654GiB
assignment3-sa-app-web-1,17.28%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,22.49%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,17.20%,185.5MiB / 7.654GiB
assignment3-sa-app-web-1,16.16%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,18.38%,185.5MiB / 7.654GiB
assignment3-sa-app-web-1,20.37%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,17.76%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,17.62%,185.3MiB / 7.654GiB
assignment3-sa-app-web-1,18.99%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,19.21%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,16.61%,185.7MiB / 7.654GiB
assignment3-sa-app-web-1,0.42%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,1.15%,185.2MiB / 7.654GiB
assignment3-sa-app-web-1,1.37%,185.2MiB / 7.654GiB
