Name,CPU%,MemUsage
assignment3-sa-app-web-1,0.56%,155.5MiB / 7.654GiB
assignment3-sa-app-web-1,0.84%,155.5MiB / 7.654GiB
assignment3-sa-app-web-1,0.41%,156.7MiB / 7.654GiB
assignment3-sa-app-web-1,0.40%,155.5MiB / 7.654GiB
assignment3-sa-app-web-1,3.40%,172.1MiB / 7.654GiB
assignment3-sa-app-web-1,138.75%,361.1MiB / 7.654GiB
assignment3-sa-app-web-1,30.46%,437.2MiB / 7.654GiB
assignment3-sa-app-web-1,16.01%,406.3MiB / 7.654GiB
assignment3-sa-app-web-1,79.97%,330MiB / 7.654GiB
assignment3-sa-app-web-1,30.09%,209.5MiB / 7.654GiB
assignment3-sa-app-web-1,5.07%,201.2MiB / 7.654GiB
assignment3-sa-app-web-1,1.15%,200.2MiB / 7.654GiB
assignment3-sa-app-web-1,5.90%,199.2MiB / 7.654GiB
assignment3-sa-app-web-1,2.94%,198.4MiB / 7.654GiB
assignment3-sa-app-web-1,17.30%,201.6MiB / 7.654GiB
assignment3-sa-app-web-1,57.84%,217.3MiB / 7.654GiB
assignment3-sa-app-web-1,73.11%,211.2MiB / 7.654GiB
assignment3-sa-app-web-1,55.22%,214.5MiB / 7.654GiB
assignment3-sa-app-web-1,83.68%,239.4MiB / 7.654GiB
assignment3-sa-app-web-1,69.25%,212.6MiB / 7.654GiB
assignment3-sa-app-web-1,50.16%,214.3MiB / 7.654GiB
assignment3-sa-app-web-1,45.84%,207.8MiB / 7.654GiB
assignment3-sa-app-web-1,72.85%,235.2MiB / 7.654GiB
assignment3-sa-app-web-1,77.12%,221.6MiB / 7.654GiB
assignment3-sa-app-web-1,50.93%,217.7MiB / 7.654GiB
assignment3-sa-app-web-1,33.54%,212.1MiB / 7.654GiB
assignment3-sa-app-web-1,76.81%,210.4MiB / 7.654GiB
assignment3-sa-app-web-1,80.33%,216.7MiB / 7.654GiB
assignment3-sa-app-web-1,72.17%,216.5MiB / 7.654GiB
assignment3-sa-app-web-1,76.67%,216.7MiB / 7.654GiB
assignment3-sa-app-web-1,59.67%,215.1MiB / 7.654GiB
assignment3-sa-app-web-1,46.81%,205.9MiB / 7.654GiB
assignment3-sa-app-web-1,61.41%,209.8MiB / 7.654GiB
assignment3-sa-app-web-1,45.50%,211.8MiB / 7.654GiB
assignment3-sa-app-web-1,62.11%,221.2MiB / 7.654GiB
assignment3-sa-app-web-1,52.84%,213.5MiB / 7.654GiB
assignment3-sa-app-web-1,72.42%,213.8MiB / 7.654GiB
assignment3-sa-app-web-1,51.83%,207.5MiB / 7.654GiB
assignment3-sa-app-web-1,54.78%,218.8MiB / 7.654GiB
assignment3-sa-app-web-1,74.03%,206.9MiB / 7.654GiB
assignment3-sa-app-web-1,60.35%,213.1MiB / 7.654GiB
assignment3-sa-app-web-1,54.41%,216.8MiB / 7.654GiB
assignment3-sa-app-web-1,58.20%,207.1MiB / 7.654GiB
assignment3-sa-app-web-1,62.09%,208.8MiB / 7.654GiB
assignment3-sa-app-web-1,72.79%,209.8MiB / 7.654GiB
assignment3-sa-app-web-1,54.84%,208.8MiB / 7.654GiB
assignment3-sa-app-web-1,58.83%,211.2MiB / 7.654GiB
assignment3-sa-app-web-1,51.32%,205.6MiB / 7.654GiB
assignment3-sa-app-web-1,69.12%,209.5MiB / 7.654GiB
assignment3-sa-app-web-1,74.68%,206.3MiB / 7.654GiB
assignment3-sa-app-web-1,65.04%,200.6MiB / 7.654GiB
assignment3-sa-app-web-1,52.14%,204MiB / 7.654GiB
assignment3-sa-app-web-1,64.43%,212.3MiB / 7.654GiB
assignment3-sa-app-web-1,60.97%,202.4MiB / 7.654GiB
assignment3-sa-app-web-1,75.87%,200.5MiB / 7.654GiB
assignment3-sa-app-web-1,15.74%,192.1MiB / 7.654GiB
assignment3-sa-app-web-1,5.72%,192.1MiB / 7.654GiB
assignment3-sa-app-web-1,3.53%,192.2MiB / 7.654GiB
assignment3-sa-app-web-1,5.22%,192MiB / 7.654GiB
assignment3-sa-app-web-1,4.01%,192MiB / 7.654GiB
assignment3-sa-app-web-1,2.12%,192MiB / 7.654GiB
assignment3-sa-app-web-1,1.17%,193.4MiB / 7.654GiB
assignment3-sa-app-web-1,1.00%,193.2MiB / 7.654GiB
assignment3-sa-app-web-1,1.26%,193.2MiB / 7.654GiB
assignment3-sa-app-web-1,1.32%,193.2MiB / 7.654GiB
assignment3-sa-app-web-1,1.14%,193.2MiB / 7.654GiB
assignment3-sa-app-web-1,1.40%,193.2MiB / 7.654GiB
assignment3-sa-app-web-1,1.84%,193.2MiB / 7.654GiB
