Name,CPU%,MemUsage
assignment3-sa-app-cache-web-1,0.47%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.55%,124.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.47%,127.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,25.44%,162.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,10.21%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,15.11%,135.5MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.13%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,15.73%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,14.50%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,15.17%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,15.53%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,14.67%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.38%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,16.46%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,16.83%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,16.89%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.19%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.45%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.69%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.65%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.37%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.31%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.64%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,13.36%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.78%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.50%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,19.02%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.71%,135.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.62%,135.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.04%,135.8MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.39%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.83%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.33%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.90%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.42%,135.9MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.37%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.51%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.54%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,19.10%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.84%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.21%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.69%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,19.19%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,17.41%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.62%,135.7MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.30%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,18.33%,135.4MiB / 7.654GiB
assignment3-sa-app-cache-web-1,13.24%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.01%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.23%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,0.87%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,2.03%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.37%,135.6MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.89%,135.3MiB / 7.654GiB
assignment3-sa-app-cache-web-1,1.40%,135.3MiB / 7.654GiB
