Name,CPU%,MemUsage
assignment3-sa-full-web-1,0.71%,142.2MiB / 7.654GiB
assignment3-sa-full-web-1,0.44%,142.2MiB / 7.654GiB
assignment3-sa-full-web-1,0.45%,142.2MiB / 7.654GiB
assignment3-sa-full-web-1,0.47%,143MiB / 7.654GiB
assignment3-sa-full-web-1,4.34%,143.9MiB / 7.654GiB
assignment3-sa-full-web-1,62.69%,149.3MiB / 7.654GiB
assignment3-sa-full-web-1,45.74%,196.7MiB / 7.654GiB
assignment3-sa-full-web-1,57.53%,264.7MiB / 7.654GiB
assignment3-sa-full-web-1,56.61%,223.9MiB / 7.654GiB
assignment3-sa-full-web-1,78.34%,202.7MiB / 7.654GiB
assignment3-sa-full-web-1,62.54%,264.3MiB / 7.654GiB
assignment3-sa-full-web-1,66.17%,342.2MiB / 7.654GiB
assignment3-sa-full-web-1,17.06%,408.6MiB / 7.654GiB
assignment3-sa-full-web-1,11.81%,406.4MiB / 7.654GiB
assignment3-sa-full-web-1,7.28%,392.1MiB / 7.654GiB
assignment3-sa-full-web-1,6.18%,396.1MiB / 7.654GiB
assignment3-sa-full-web-1,49.72%,353MiB / 7.654GiB
assignment3-sa-full-web-1,76.15%,291.6MiB / 7.654GiB
assignment3-sa-full-web-1,60.43%,269.8MiB / 7.654GiB
assignment3-sa-full-web-1,67.44%,237MiB / 7.654GiB
assignment3-sa-full-web-1,53.15%,222.8MiB / 7.654GiB
assignment3-sa-full-web-1,59.59%,214.6MiB / 7.654GiB
assignment3-sa-full-web-1,61.02%,225.2MiB / 7.654GiB
assignment3-sa-full-web-1,65.97%,217.4MiB / 7.654GiB
assignment3-sa-full-web-1,67.30%,209.6MiB / 7.654GiB
assignment3-sa-full-web-1,27.50%,202.7MiB / 7.654GiB
assignment3-sa-full-web-1,10.60%,201.1MiB / 7.654GiB
assignment3-sa-full-web-1,53.56%,204.1MiB / 7.654GiB
assignment3-sa-full-web-1,57.56%,202.6MiB / 7.654GiB
assignment3-sa-full-web-1,55.97%,196.4MiB / 7.654GiB
assignment3-sa-full-web-1,55.49%,195MiB / 7.654GiB
assignment3-sa-full-web-1,59.49%,207.7MiB / 7.654GiB
assignment3-sa-full-web-1,57.76%,204.5MiB / 7.654GiB
assignment3-sa-full-web-1,56.46%,199.9MiB / 7.654GiB
assignment3-sa-full-web-1,57.60%,197.2MiB / 7.654GiB
assignment3-sa-full-web-1,38.24%,194.7MiB / 7.654GiB
assignment3-sa-full-web-1,0.73%,196MiB / 7.654GiB
assignment3-sa-full-web-1,49.37%,196.4MiB / 7.654GiB
assignment3-sa-full-web-1,50.92%,195MiB / 7.654GiB
assignment3-sa-full-web-1,57.46%,192.4MiB / 7.654GiB
assignment3-sa-full-web-1,54.43%,193.6MiB / 7.654GiB
assignment3-sa-full-web-1,57.70%,193.6MiB / 7.654GiB
assignment3-sa-full-web-1,56.89%,192.1MiB / 7.654GiB
assignment3-sa-full-web-1,58.44%,195MiB / 7.654GiB
assignment3-sa-full-web-1,59.33%,195.7MiB / 7.654GiB
assignment3-sa-full-web-1,50.54%,194.5MiB / 7.654GiB

