Name,CPU%,MemUsage
assignment3-sa-proxy-web-1,0.38%,94.91MiB / 7.654GiB
assignment3-sa-proxy-web-1,0.38%,94.91MiB / 7.654GiB
assignment3-sa-proxy-web-1,3.49%,95.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,10.87%,95.85MiB / 7.654GiB
assignment3-sa-proxy-web-1,23.21%,113.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,12.70%,117.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,12.88%,115.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.30%,112.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,14.27%,108.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,14.96%,104.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.05%,103.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.88%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.17%,102.3MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.41%,102.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.25%,102.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.75%,102.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,14.61%,102.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.56%,103MiB / 7.654GiB
assignment3-sa-proxy-web-1,14.00%,102.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.21%,102.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.36%,102.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.16%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,26.79%,104.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.63%,104.4MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.29%,104.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.02%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.43%,103.8MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.46%,103.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.52%,103MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.31%,102.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.19%,102.8MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.56%,102.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.08%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.86%,102.6MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.15%,103MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.79%,103.1MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.78%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.17%,102.9MiB / 7.654GiB
assignment3-sa-proxy-web-1,14.78%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.69%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,18.29%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.29%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.56%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.56%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,16.25%,103.2MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.53%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.41%,102.7MiB / 7.654GiB
assignment3-sa-proxy-web-1,15.51%,102.5MiB / 7.654GiB
assignment3-sa-proxy-web-1,1.09%,102.3MiB / 7.654GiB
