Name,CPU%,MemUsage
assignment3-sa-search-web-1,0.42%,140MiB / 7.654GiB
assignment3-sa-search-web-1,0.45%,140MiB / 7.654GiB
assignment3-sa-search-web-1,0.57%,143.8MiB / 7.654GiB
assignment3-sa-search-web-1,0.81%,141.9MiB / 7.654GiB
assignment3-sa-search-web-1,26.64%,183.6MiB / 7.654GiB
assignment3-sa-search-web-1,8.62%,252.8MiB / 7.654GiB
assignment3-sa-search-web-1,72.64%,341.1MiB / 7.654GiB
assignment3-sa-search-web-1,84.45%,322.9MiB / 7.654GiB
assignment3-sa-search-web-1,87.25%,195MiB / 7.654GiB
assignment3-sa-search-web-1,94.18%,179.4MiB / 7.654GiB
assignment3-sa-search-web-1,57.73%,175.7MiB / 7.654GiB
assignment3-sa-search-web-1,5.03%,175.9MiB / 7.654GiB
assignment3-sa-search-web-1,4.17%,175.6MiB / 7.654GiB
assignment3-sa-search-web-1,1.17%,175.6MiB / 7.654GiB
assignment3-sa-search-web-1,5.10%,175.6MiB / 7.654GiB
assignment3-sa-search-web-1,51.53%,176.1MiB / 7.654GiB
assignment3-sa-search-web-1,52.55%,175.8MiB / 7.654GiB
assignment3-sa-search-web-1,48.98%,176.9MiB / 7.654GiB
assignment3-sa-search-web-1,55.20%,175.8MiB / 7.654GiB
assignment3-sa-search-web-1,55.66%,175.8MiB / 7.654GiB
assignment3-sa-search-web-1,55.82%,175.8MiB / 7.654GiB
assignment3-sa-search-web-1,57.07%,176.2MiB / 7.654GiB
assignment3-sa-search-web-1,50.35%,175.7MiB / 7.654GiB
assignment3-sa-search-web-1,51.42%,176.1MiB / 7.654GiB
assignment3-sa-search-web-1,50.16%,175.6MiB / 7.654GiB
assignment3-sa-search-web-1,45.77%,175.8MiB / 7.654GiB
assignment3-sa-search-web-1,50.71%,175.8MiB / 7.654GiB
assignment3-sa-search-web-1,53.27%,176.1MiB / 7.654GiB
assignment3-sa-search-web-1,52.14%,175.7MiB / 7.654GiB
assignment3-sa-search-web-1,53.32%,176.1MiB / 7.654GiB
assignment3-sa-search-web-1,52.19%,175.7MiB / 7.654GiB
